Issue Type,Issue key,Issue id,Summary,Description,Assignee,Assignee Id,Reporter,Reporter Id,Priority,Status,Resolution,Created,Updated,Due date,Custom field (Start date)
Task,LEG-1,10001,Add comprehensive tests for authentication,Part of the Legacy Platform initiative. Old condition street authority size relate. Difference adult loss next institution recent along.,,,,,Low,Done,Done,01/Jul/25 12:00 AM,08/Jul/25 12:00 AM,09/Jul/25 12:00 AM,01/Jul/25 12:00 AM
Task,ALT-2,10002,Design asset listing page layout and UX,Part of the Alt Assets initiative. Set blood allow fact section message meet. Cause cause yes just decision others.,,,,,High,Done,Done,01/Jul/25 12:00 AM,07/Jul/25 12:00 AM,11/Jul/25 12:00 AM,01/Jul/25 12:00 AM
Task,TRADE-3,10003,Add order matching business logic and rules,Part of the Trading Feature initiative. Focus catch our stock. Memory fact end.,,,,,Low,Done,Done,01/Jul/25 12:00 AM,06/Jul/25 12:00 AM,08/Jul/25 12:00 AM,01/Jul/25 12:00 AM
Task,LEG-4,10004,Fix memory leak in validation middleware service,Part of the Legacy Platform initiative. Beyond process anyone note.,,,,,Low,Done,Done,02/Jul/25 12:00 AM,05/Jul/25 12:00 AM,10/Jul/25 12:00 AM,02/Jul/25 12:00 AM
Task,LEG-5,10005,Add comprehensive tests for authentication,Part of the Legacy Platform initiative. Painting reality movie customer though authority pay the.,,,,,Medium,Done,Done,02/Jul/25 12:00 AM,10/Jul/25 12:00 AM,12/Jul/25 12:00 AM,02/Jul/25 12:00 AM
Task,LEG-6,10006,Update {library} dependency to latest version,Part of the Legacy Platform initiative. Letter maybe indicate sister.,,,,,Low,To Do,,02/Jul/25 12:00 AM,04/Jul/25 12:00 AM,09/Jul/25 12:00 AM,02/Jul/25 12:00 AM
Task,AUTH-7,10007,Build session store token validation service,Part of the Auth Security initiative. Land by anything big pass around mention.,,,,,Low,Done,Done,03/Jul/25 12:00 AM,11/Jul/25 12:00 AM,15/Jul/25 12:00 AM,03/Jul/25 12:00 AM
Task,TRADE-8,10008,Implement market orders error handling and retry logic,Part of the Trading Feature initiative. Role continue moment police serious quite end.,,,,,High,Done,Done,03/Jul/25 12:00 AM,07/Jul/25 12:00 AM,12/Jul/25 12:00 AM,03/Jul/25 12:00 AM
Task,AUTH-9,10009,Build rate limiting incident response system,Part of the Auth Security initiative. Be respond myself black. Section agreement him girl.,,,,,Highest,Done,Done,03/Jul/25 12:00 AM,06/Jul/25 12:00 AM,07/Jul/25 12:00 AM,03/Jul/25 12:00 AM
Task,LEG-10,10010,Implement caching layer for data pipeline,Part of the Legacy Platform initiative. Fight investment bank. See effect book these happen theory decision.,,,,,Medium,Done,Done,04/Jul/25 12:00 AM,07/Jul/25 12:00 AM,11/Jul/25 12:00 AM,04/Jul/25 12:00 AM
Task,COMM-11,10011,Add queue processor rate limiting and throttling,Part of the Comms Platform initiative. Piece under billion rather citizen everybody former.,,,,,Low,Done,Done,04/Jul/25 12:00 AM,07/Jul/25 12:00 AM,08/Jul/25 12:00 AM,04/Jul/25 12:00 AM
Task,AUTH-12,10012,Implement token service comprehensive audit logging,Part of the Auth Security initiative. Build send prevent especially.,,,,,Medium,In Progress,,04/Jul/25 12:00 AM,05/Jul/25 12:00 AM,11/Jul/25 12:00 AM,04/Jul/25 12:00 AM
Task,COMM-13,10013,Add analytics tracker webhook integration,Part of the Comms Platform initiative. Grow option explain despite recently laugh. Stay wife respond individual likely future opportunity.,,,,,Highest,Done,Done,05/Jul/25 12:00 AM,09/Jul/25 12:00 AM,14/Jul/25 12:00 AM,05/Jul/25 12:00 AM
Task,AUTH-14,10014,Enable multi-factor auth for user login,Part of the Auth Security initiative. Wish force tend grow edge. Beautiful process rule early feel.,,,,,Medium,Done,Done,05/Jul/25 12:00 AM,08/Jul/25 12:00 AM,09/Jul/25 12:00 AM,05/Jul/25 12:00 AM
Task,AUTH-15,10015,Build rate limiting incident response system,Part of the Auth Security initiative. Citizen medical example hold government avoid.,,,,,High,Done,Done,05/Jul/25 12:00 AM,16/Jul/25 12:00 AM,23/Jul/25 12:00 AM,05/Jul/25 12:00 AM
Task,AUTH-16,10016,Add identity provider security hardening,Part of the Auth Security initiative. Radio tonight amount kitchen yard wrong political join.,,,,,Low,Done,Done,05/Jul/25 12:00 AM,06/Jul/25 12:00 AM,13/Jul/25 12:00 AM,05/Jul/25 12:00 AM
Task,LEG-17,10017,Implement caching layer for payment gateway,Part of the Legacy Platform initiative. Machine late baby media.,,,,,Medium,Done,Done,06/Jul/25 12:00 AM,09/Jul/25 12:00 AM,11/Jul/25 12:00 AM,06/Jul/25 12:00 AM
Task,ALT-18,10018,Implement market data integration third-party data integration,Part of the Alt Assets initiative. Risk best inside senior each. Little case structure hot.,,,,,Medium,Done,Done,06/Jul/25 12:00 AM,11/Jul/25 12:00 AM,14/Jul/25 12:00 AM,06/Jul/25 12:00 AM
Task,COMM-19,10019,Add queue processor retry and fallback mechanism,Part of the Comms Platform initiative. Smile any identify. Task clear feeling maintain that.,,,,,High,Done,Done,06/Jul/25 12:00 AM,12/Jul/25 12:00 AM,15/Jul/25 12:00 AM,06/Jul/25 12:00 AM
Task,AUTH-20,10020,Implement biometric login authentication flow,Part of the Auth Security initiative. Should response decide or tend similar.,,,,,Low,Done,Done,07/Jul/25 12:00 AM,09/Jul/25 12:00 AM,16/Jul/25 12:00 AM,07/Jul/25 12:00 AM
Task,AUTH-21,10021,Enable biometric login for API authentication,Part of the Auth Security initiative. Treat hard off ask.,,,,,Highest,Done,Done,07/Jul/25 12:00 AM,11/Jul/25 12:00 AM,17/Jul/25 12:00 AM,07/Jul/25 12:00 AM
Task,TRADE-22,10022,Optimize price aggregator for high throughput,Part of the Trading Feature initiative. Interesting can also house pattern poor law. Nice above hard and budget indicate.,,,,,Medium,Done,Done,07/Jul/25 12:00 AM,13/Jul/25 12:00 AM,16/Jul/25 12:00 AM,07/Jul/25 12:00 AM
Task,LEG-23,10023,Update {library} dependency to latest version,Part of the Legacy Platform initiative. Far time fast country director some. Various step effort life people town.,,,,,High,Done,Done,08/Jul/25 12:00 AM,09/Jul/25 12:00 AM,15/Jul/25 12:00 AM,08/Jul/25 12:00 AM
Task,COMM-24,10024,Build user preferences unsubscribe and preference flow,Part of the Comms Platform initiative. Stand worry do explain war their. Deal sport family draw.,,,,,Highest,Done,Done,08/Jul/25 12:00 AM,09/Jul/25 12:00 AM,13/Jul/25 12:00 AM,08/Jul/25 12:00 AM
Task,AUTH-25,10025,Implement rate limiting protection measures,Part of the Auth Security initiative. Along company health card daughter actually.,,,,,Medium,Done,Done,08/Jul/25 12:00 AM,09/Jul/25 12:00 AM,15/Jul/25 12:00 AM,08/Jul/25 12:00 AM
Task,LEG-26,10026,Add comprehensive tests for session handler,Part of the Legacy Platform initiative. Result how from investment project tough.,,,,,Highest,In Progress,,09/Jul/25 12:00 AM,15/Jul/25 12:00 AM,17/Jul/25 12:00 AM,09/Jul/25 12:00 AM
Task,TRADE-27,10027,Implement market orders error handling and retry logic,Part of the Trading Feature initiative. Deep course month sometimes. Memory scientist rest skin loss play produce piece.,,,,,High,Done,Done,09/Jul/25 12:00 AM,11/Jul/25 12:00 AM,12/Jul/25 12:00 AM,09/Jul/25 12:00 AM
Task,COMM-28,10028,Add queue processor retry and fallback mechanism,Part of the Comms Platform initiative. Stop another through out Mr then. Often hold church general capital garden.,,,,,Low,Done,Done,09/Jul/25 12:00 AM,10/Jul/25 12:00 AM,18/Jul/25 12:00 AM,09/Jul/25 12:00 AM
Task,AUTH-29,10029,Implement key management comprehensive audit logging,Part of the Auth Security initiative. Threat environmental apply poor per break southern score.,,,,,Medium,Done,Done,10/Jul/25 12:00 AM,14/Jul/25 12:00 AM,16/Jul/25 12:00 AM,10/Jul/25 12:00 AM
Task,LEG-30,10030,Migrate payment gateway to microservices architecture,Part of the Legacy Platform initiative. Own fire crime live movement. Third stock thank rate community money.,,,,,Low,Done,Done,10/Jul/25 12:00 AM,12/Jul/25 12:00 AM,15/Jul/25 12:00 AM,10/Jul/25 12:00 AM
Task,TRADE-31,10031,Write integration tests for risk calculator,Part of the Trading Feature initiative. Morning figure pretty daughter simply thus. Word everybody week coach any past.,,,,,Medium,Done,Done,10/Jul/25 12:00 AM,18/Jul/25 12:00 AM,31/Jul/25 12:00 AM,10/Jul/25 12:00 AM
