Issue Type,Issue key,Issue id,Summary,Description,Assignee,Assignee Id,Reporter,Reporter Id,Priority,Status,Resolution,Created,Updated,Due date,Custom field (Start date),Created_dt,Due_date_dt,Start_date_dt,Updated_dt,Duration_days,Hours_per_ticket,Cost_per_ticket,Period,Week_Period,Week_Start
Task,FT-3,10358,Add order matching business logic and rules,"{'type': 'doc', 'version': 1, 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': 'Part of the Trading Feature initiative. Focus catch our stock. Memory fact end.'}]}]}",Unassigned,,Puchawin Borirackujarean,62118761f97d180071762ca4,Low,Done,Done,01/Jul/25 12:00 AM,06/Jul/25 12:00 AM,08/Jul/25 12:00 AM,01/Jul/25 12:00 AM,2025-07-01,2025-07-08,2025-07-01,2025-07-06,7,56,2800.0,Pre-Claude,2025-06-30/2025-07-06,2025-06-30
Task,FT-2,10357,Design asset listing page layout and UX,"{'type': 'doc', 'version': 1, 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': 'Part of the Alt Assets initiative. Set blood allow fact section message meet. Cause cause yes just decision others.'}]}]}",Unassigned,,Puchawin Borirackujarean,62118761f97d180071762ca4,High,Done,Done,01/Jul/25 12:00 AM,07/Jul/25 12:00 AM,11/Jul/25 12:00 AM,01/Jul/25 12:00 AM,2025-07-01,2025-07-11,2025-07-01,2025-07-07,10,80,4000.0,Pre-Claude,2025-06-30/2025-07-06,2025-06-30
Task,FT-1,10356,Add comprehensive tests for authentication,"{'type': 'doc', 'version': 1, 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': 'Part of the Legacy Platform initiative. Old condition street authority size relate. Difference adult loss next institution recent along.'}]}]}",Unassigned,,Puchawin Borirackujarean,62118761f97d180071762ca4,Low,Done,Done,01/Jul/25 12:00 AM,08/Jul/25 12:00 AM,09/Jul/25 12:00 AM,01/Jul/25 12:00 AM,2025-07-01,2025-07-09,2025-07-01,2025-07-08,8,64,3200.0,Pre-Claude,2025-06-30/2025-07-06,2025-06-30
Task,FT-6,10359,Update {library} dependency to latest version,"{'type': 'doc', 'version': 1, 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': 'Part of the Legacy Platform initiative. Letter maybe indicate sister.'}]}]}",Unassigned,,Puchawin Borirackujarean,62118761f97d180071762ca4,Low,To Do,,02/Jul/25 12:00 AM,04/Jul/25 12:00 AM,09/Jul/25 12:00 AM,02/Jul/25 12:00 AM,2025-07-02,2025-07-09,2025-07-02,2025-07-04,7,56,2800.0,Pre-Claude,2025-06-30/2025-07-06,2025-06-30
Task,FT-5,10297,Add comprehensive tests for authentication,"{'type': 'doc', 'version': 1, 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': 'Part of the Legacy Platform initiative. Painting reality movie customer though authority pay the.'}]}]}",Unassigned,,Puchawin Borirackujarean,62118761f97d180071762ca4,Medium,Done,Done,02/Jul/25 12:00 AM,10/Jul/25 12:00 AM,12/Jul/25 12:00 AM,02/Jul/25 12:00 AM,2025-07-02,2025-07-12,2025-07-02,2025-07-10,10,80,4000.0,Pre-Claude,2025-06-30/2025-07-06,2025-06-30
Task,FT-4,10505,Fix memory leak in validation middleware service,"{'type': 'doc', 'version': 1, 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': 'Part of the Legacy Platform initiative. Beyond process anyone note.'}]}]}",Unassigned,,Puchawin Borirackujarean,62118761f97d180071762ca4,Low,Done,Done,02/Jul/25 12:00 AM,05/Jul/25 12:00 AM,10/Jul/25 12:00 AM,02/Jul/25 12:00 AM,2025-07-02,2025-07-10,2025-07-02,2025-07-05,8,64,3200.0,Pre-Claude,2025-06-30/2025-07-06,2025-06-30
Task,FT-9,10507,Build rate limiting incident response system,"{'type': 'doc', 'version': 1, 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': 'Part of the Auth Security initiative. Be respond myself black. Section agreement him girl.'}]}]}",Unassigned,,Puchawin Borirackujarean,62118761f97d180071762ca4,Highest,Done,Done,03/Jul/25 12:00 AM,06/Jul/25 12:00 AM,07/Jul/25 12:00 AM,03/Jul/25 12:00 AM,2025-07-03,2025-07-07,2025-07-03,2025-07-06,4,32,1600.0,Pre-Claude,2025-06-30/2025-07-06,2025-06-30
Task,FT-8,10633,Implement market orders error handling and retry logic,"{'type': 'doc', 'version': 1, 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': 'Part of the Trading Feature initiative. Role continue moment police serious quite end.'}]}]}",Unassigned,,Puchawin Borirackujarean,62118761f97d180071762ca4,High,Done,Done,03/Jul/25 12:00 AM,07/Jul/25 12:00 AM,12/Jul/25 12:00 AM,03/Jul/25 12:00 AM,2025-07-03,2025-07-12,2025-07-03,2025-07-07,9,72,3600.0,Pre-Claude,2025-06-30/2025-07-06,2025-06-30
Task,FT-7,10506,Build session store token validation service,"{'type': 'doc', 'version': 1, 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': 'Part of the Auth Security initiative. Land by anything big pass around mention.'}]}]}",Unassigned,,Puchawin Borirackujarean,62118761f97d180071762ca4,Low,Done,Done,03/Jul/25 12:00 AM,11/Jul/25 12:00 AM,15/Jul/25 12:00 AM,03/Jul/25 12:00 AM,2025-07-03,2025-07-15,2025-07-03,2025-07-11,12,96,4800.0,Pre-Claude,2025-06-30/2025-07-06,2025-06-30
Task,FT-12,10508,Implement token service comprehensive audit logging,"{'type': 'doc', 'version': 1, 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': 'Part of the Auth Security initiative. Build send prevent especially.'}]}]}",Unassigned,,Puchawin Borirackujarean,62118761f97d180071762ca4,Medium,In Progress,,04/Jul/25 12:00 AM,05/Jul/25 12:00 AM,11/Jul/25 12:00 AM,04/Jul/25 12:00 AM,2025-07-04,2025-07-11,2025-07-04,2025-07-05,7,56,2800.0,Pre-Claude,2025-06-30/2025-07-06,2025-06-30
