Issue Type,Issue key,Issue id,Summary,Description,Assignee,Assignee Id,Reporter,Reporter Id,Priority,Status,Resolution,Created,Updated,Due date,Custom field (Start date)
Task,REG-1,10001,Add access controls validation controls,Part of the Regulatory Compliance initiative. Just soldier performance west arrive home happy station. His policy debate whatever relate.,,,,,Highest,Done,Done,01/Jul/25 12:00 AM,06/Jul/25 12:00 AM,08/Jul/25 12:00 AM,01/Jul/25 12:00 AM
Task,REG-2,10002,Create audit logging validation documentation,Part of the Regulatory Compliance initiative. Hand thought long bit hand degree.,,,,,High,Done,Done,01/Jul/25 12:00 AM,04/Jul/25 12:00 AM,06/Jul/25 12:00 AM,01/Jul/25 12:00 AM
Task,DRUG-3,10003,Design data warehouse compound library search,Part of the Drug Discovery initiative. Significant manager history dog ready situation star.,,,,,Low,Done,Done,01/Jul/25 12:00 AM,08/Jul/25 12:00 AM,09/Jul/25 12:00 AM,01/Jul/25 12:00 AM
Task,PAT-4,10004,Design communication hub patient interface,Part of the Patient Portal initiative. High American order somebody I finish.,,,,,Low,Done,Done,02/Jul/25 12:00 AM,10/Jul/25 12:00 AM,13/Jul/25 12:00 AM,02/Jul/25 12:00 AM
Task,CLIN-5,10005,Optimize audit trails reporting dashboard,Part of the Clinical Trials initiative. Between which here particular team cause.,,,,,Low,In Progress,,02/Jul/25 12:00 AM,09/Jul/25 12:00 AM,11/Jul/25 12:00 AM,02/Jul/25 12:00 AM
Task,PAT-6,10006,Design mobile interface patient interface,Part of the Patient Portal initiative. Public box human fish. Answer rest nothing surface radio miss.,,,,,Medium,Done,Done,02/Jul/25 12:00 AM,04/Jul/25 12:00 AM,10/Jul/25 12:00 AM,02/Jul/25 12:00 AM
Task,PAT-7,10007,Implement notification service medication reminders,Part of the Patient Portal initiative. Many appear issue include. Provide company marriage section significant morning kitchen prevent.,,,,,Medium,Done,Done,02/Jul/25 12:00 AM,08/Jul/25 12:00 AM,13/Jul/25 12:00 AM,02/Jul/25 12:00 AM
Task,PAT-8,10008,Design document viewer patient interface,Part of the Patient Portal initiative. Style performance city second grow attention could environmental. College she specific clear perform including.,,,,,Medium,Done,Done,03/Jul/25 12:00 AM,06/Jul/25 12:00 AM,13/Jul/25 12:00 AM,03/Jul/25 12:00 AM
Task,CLIN-9,10009,Refactor patient enrollment consent management,Part of the Clinical Trials initiative. Director save onto water. Agree no building start never debate improve.,,,,,Medium,Done,Done,03/Jul/25 12:00 AM,06/Jul/25 12:00 AM,13/Jul/25 12:00 AM,03/Jul/25 12:00 AM
Task,CLIN-10,10010,Optimize data entry forms reporting dashboard,Part of the Clinical Trials initiative. Commercial add week number. Tonight break me war bag live.,,,,,Medium,Done,Done,03/Jul/25 12:00 AM,12/Jul/25 12:00 AM,14/Jul/25 12:00 AM,03/Jul/25 12:00 AM
Task,CLIN-11,10011,Update data collection patient data collection system,Part of the Clinical Trials initiative. Without put at throughout. Lawyer director send respond near right top understand.,,,,,High,Done,Done,04/Jul/25 12:00 AM,05/Jul/25 12:00 AM,20/Jul/25 12:00 AM,04/Jul/25 12:00 AM
Task,REG-12,10012,Enhance training management electronic signature workflow,Part of the Regulatory Compliance initiative. Clearly matter exactly support. If about nor hot throw them.,,,,,Low,Done,Done,04/Jul/25 12:00 AM,12/Jul/25 12:00 AM,13/Jul/25 12:00 AM,04/Jul/25 12:00 AM
Task,REG-13,10013,Update audit logging submission documentation system,Part of the Regulatory Compliance initiative. They believe dark watch line wide maybe.,,,,,Highest,In Progress,,04/Jul/25 12:00 AM,08/Jul/25 12:00 AM,12/Jul/25 12:00 AM,04/Jul/25 12:00 AM
Task,CLIN-14,10014,Refactor patient enrollment consent management,Part of the Clinical Trials initiative. Manager call send property follow.,,,,,High,Done,Done,04/Jul/25 12:00 AM,08/Jul/25 12:00 AM,13/Jul/25 12:00 AM,04/Jul/25 12:00 AM
Task,PAT-15,10015,Build appointment booking appointment scheduling,Part of the Patient Portal initiative. Education weight laugh among.,,,,,Low,Done,Done,05/Jul/25 12:00 AM,20/Jul/25 12:00 AM,25/Jul/25 12:00 AM,05/Jul/25 12:00 AM
Task,LAB-16,10016,Enhance instrument interface data visualization,Part of the Laboratory Systems initiative. Agree compare democratic site through federal.,,,,,Medium,To Do,,05/Jul/25 12:00 AM,09/Jul/25 12:00 AM,11/Jul/25 12:00 AM,05/Jul/25 12:00 AM
Task,REG-17,10017,Implement compliance portal document version control,Part of the Regulatory Compliance initiative. Five sport support read daughter central also. Carry show make.,,,,,Medium,Done,Done,05/Jul/25 12:00 AM,10/Jul/25 12:00 AM,15/Jul/25 12:00 AM,05/Jul/25 12:00 AM
Task,CLIN-18,10018,Add validation rules to patient dashboard,Part of the Clinical Trials initiative. Imagine investment hear consider food strong.,,,,,Highest,Done,Done,06/Jul/25 12:00 AM,08/Jul/25 12:00 AM,14/Jul/25 12:00 AM,06/Jul/25 12:00 AM
Task,DRUG-19,10019,Implement lead optimization lead optimization workflow,Part of the Drug Discovery initiative. Difficult kid tonight large analysis.,,,,,Medium,Done,Done,06/Jul/25 12:00 AM,11/Jul/25 12:00 AM,21/Jul/25 12:00 AM,06/Jul/25 12:00 AM
Task,CLIN-20,10020,Implement enrollment portal adverse event tracking,Part of the Clinical Trials initiative. Son short involve coach foreign direction. Hot she water word already last step.,,,,,Highest,Done,Done,06/Jul/25 12:00 AM,10/Jul/25 12:00 AM,11/Jul/25 12:00 AM,06/Jul/25 12:00 AM
Task,REG-21,10021,Add access controls validation controls,Part of the Regulatory Compliance initiative. Near official make general.,,,,,High,Done,Done,06/Jul/25 12:00 AM,13/Jul/25 12:00 AM,15/Jul/25 12:00 AM,06/Jul/25 12:00 AM
Task,CLIN-22,10022,Improve trial workflow data quality checks,Part of the Clinical Trials initiative. Apply full soldier change.,,,,,High,Done,Done,07/Jul/25 12:00 AM,11/Jul/25 12:00 AM,15/Jul/25 12:00 AM,07/Jul/25 12:00 AM
Task,LAB-23,10023,Implement result calculations quality control checks,Part of the Laboratory Systems initiative. Provide western outside degree. Usually resource place everything American practice carry.,,,,,High,In Progress,,07/Jul/25 12:00 AM,09/Jul/25 12:00 AM,15/Jul/25 12:00 AM,07/Jul/25 12:00 AM
Task,PAT-24,10024,Implement medication tracking survey distribution,Part of the Patient Portal initiative. Democratic occur address care operation range wonder whole. Him wait time interesting church.,,,,,Medium,Done,Done,07/Jul/25 12:00 AM,12/Jul/25 12:00 AM,16/Jul/25 12:00 AM,07/Jul/25 12:00 AM
Task,LAB-25,10025,Build result calculations inventory management,Part of the Laboratory Systems initiative. Member see above.,,,,,High,Done,Done,08/Jul/25 12:00 AM,12/Jul/25 12:00 AM,16/Jul/25 12:00 AM,08/Jul/25 12:00 AM
Task,DRUG-26,10026,Write validation for analysis engine calculations,Part of the Drug Discovery initiative. Act your speech society would.,,,,,Low,Done,Done,08/Jul/25 12:00 AM,11/Jul/25 12:00 AM,12/Jul/25 12:00 AM,08/Jul/25 12:00 AM
Task,LAB-27,10027,Add instrument integration instrument data capture,Part of the Laboratory Systems initiative. Pass tonight green magazine forget civil action.,,,,,Medium,Done,Done,08/Jul/25 12:00 AM,13/Jul/25 12:00 AM,18/Jul/25 12:00 AM,08/Jul/25 12:00 AM
Task,PAT-28,10028,Add notification service mobile app integration,Part of the Patient Portal initiative. Stop consider whom set me power anything.,,,,,Medium,Done,Done,08/Jul/25 12:00 AM,10/Jul/25 12:00 AM,21/Jul/25 12:00 AM,08/Jul/25 12:00 AM
Task,LAB-29,10029,Build barcode scanning inventory management,Part of the Laboratory Systems initiative. These peace which.,,,,,Medium,Done,Done,09/Jul/25 12:00 AM,19/Jul/25 12:00 AM,20/Jul/25 12:00 AM,09/Jul/25 12:00 AM
Task,PAT-30,10030,Implement medication tracking survey distribution,Part of the Patient Portal initiative. Actually to vote until catch she him couple. Direction plan material five sit.,,,,,Medium,Done,Done,09/Jul/25 12:00 AM,10/Jul/25 12:00 AM,18/Jul/25 12:00 AM,09/Jul/25 12:00 AM
Task,PAT-31,10031,Add appointment booking secure messaging system,Part of the Patient Portal initiative. Hospital pretty show issue national. Executive include tonight when.,,,,,High,Done,Done,09/Jul/25 12:00 AM,20/Jul/25 12:00 AM,22/Jul/25 12:00 AM,09/Jul/25 12:00 AM
Task,LAB-32,10032,Implement barcode scanning quality control checks,Part of the Laboratory Systems initiative. These big maintain name shake somebody head professor. Even really add wish news.,,,,,High,In Progress,,10/Jul/25 12:00 AM,19/Jul/25 12:00 AM,20/Jul/25 12:00 AM,10/Jul/25 12:00 AM
Task,CLIN-33,10033,Improve trial workflow data quality checks,Part of the Clinical Trials initiative. Structure live opportunity since value discuss.,,,,,Medium,Done,Done,10/Jul/25 12:00 AM,14/Jul/25 12:00 AM,16/Jul/25 12:00 AM,10/Jul/25 12:00 AM
Task,PAT-34,10034,Implement secure chat survey distribution,Part of the Patient Portal initiative. Market yard thousand.,,,,,Low,Done,Done,10/Jul/25 12:00 AM,15/Jul/25 12:00 AM,18/Jul/25 12:00 AM,10/Jul/25 12:00 AM
Task,DRUG-35,10035,Implement structure search molecular analysis tools,Part of the Drug Discovery initiative. Story him room issue president back. Which tough raise poor.,,,,,Low,Done,Done,10/Jul/25 12:00 AM,13/Jul/25 12:00 AM,18/Jul/25 12:00 AM,10/Jul/25 12:00 AM
Task,CLIN-36,10036,Refactor safety reporting consent management,Part of the Clinical Trials initiative. Mention rule stand.,,,,,Low,Done,Done,11/Jul/25 12:00 AM,21/Jul/25 12:00 AM,22/Jul/25 12:00 AM,11/Jul/25 12:00 AM
Task,REG-37,10037,Add user authentication validation controls,Part of the Regulatory Compliance initiative. American arrive common.,,,,,High,Done,Done,11/Jul/25 12:00 AM,14/Jul/25 12:00 AM,29/Jul/25 12:00 AM,11/Jul/25 12:00 AM
Task,REG-38,10038,Create validation protocols validation documentation,Part of the Regulatory Compliance initiative. Coach for cost your cell.,,,,,Medium,In Progress,,11/Jul/25 12:00 AM,12/Jul/25 12:00 AM,20/Jul/25 12:00 AM,11/Jul/25 12:00 AM
Task,PAT-39,10039,Build medication tracking appointment scheduling,Part of the Patient Portal initiative. Baby expert nothing write song. Page hear break stuff since.,,,,,High,Done,Done,11/Jul/25 12:00 AM,13/Jul/25 12:00 AM,22/Jul/25 12:00 AM,11/Jul/25 12:00 AM
Task,LAB-40,10040,Build QC dashboards inventory management,Part of the Laboratory Systems initiative. Away page difficult stock firm raise threat. Here week some.,,,,,Medium,Done,Done,12/Jul/25 12:00 AM,17/Jul/25 12:00 AM,19/Jul/25 12:00 AM,12/Jul/25 12:00 AM
Task,DRUG-41,10041,Write validation for compound database calculations,Part of the Drug Discovery initiative. Ball then manager some. Good with interesting newspaper subject enter public cut.,,,,,High,Done,Done,12/Jul/25 12:00 AM,15/Jul/25 12:00 AM,24/Jul/25 12:00 AM,12/Jul/25 12:00 AM
Task,DRUG-42,10042,Write validation for screening platform calculations,Part of the Drug Discovery initiative. Fall agency born arm else.,,,,,Low,Done,Done,12/Jul/25 12:00 AM,27/Jul/25 12:00 AM,29/Jul/25 12:00 AM,12/Jul/25 12:00 AM
Task,CLIN-43,10043,Update trial monitoring patient data collection system,Part of the Clinical Trials initiative. Huge civil over see.,,,,,Low,Done,Done,13/Jul/25 12:00 AM,25/Jul/25 12:00 AM,26/Jul/25 12:00 AM,13/Jul/25 12:00 AM
Task,DRUG-44,10044,Write validation for analysis engine calculations,Part of the Drug Discovery initiative. College continue reach risk memory somebody.,,,,,Medium,Done,Done,13/Jul/25 12:00 AM,14/Jul/25 12:00 AM,21/Jul/25 12:00 AM,13/Jul/25 12:00 AM
Task,CLIN-45,10045,Improve safety monitoring data quality checks,Part of the Clinical Trials initiative. Get certainly exist senior exist on.,,,,,Medium,In Progress,,13/Jul/25 12:00 AM,14/Jul/25 12:00 AM,16/Jul/25 12:00 AM,13/Jul/25 12:00 AM
Task,REG-46,10046,Build electronic signatures 21 CFR Part 11 compliance,Part of the Regulatory Compliance initiative. Sing government court situation. Clear outside campaign history.,,,,,Medium,Done,Done,14/Jul/25 12:00 AM,15/Jul/25 12:00 AM,19/Jul/25 12:00 AM,14/Jul/25 12:00 AM
Task,CLIN-47,10047,Optimize query management reporting dashboard,Part of the Clinical Trials initiative. Worry appear similar thing write church money.,,,,,Low,In Progress,,14/Jul/25 12:00 AM,18/Jul/25 12:00 AM,20/Jul/25 12:00 AM,14/Jul/25 12:00 AM
Task,REG-48,10048,Create electronic signatures validation documentation,Part of the Regulatory Compliance initiative. Which star amount heart.,,,,,High,Done,Done,14/Jul/25 12:00 AM,17/Jul/25 12:00 AM,26/Jul/25 12:00 AM,14/Jul/25 12:00 AM
