Issue Type,Issue key,Issue id,Summary,Description,Assignee,Assignee Id,Reporter,Reporter Id,Priority,Status,Resolution,Created,Updated,Due date,Custom field (Start date)
Task,SCRUM-271,10296,Add market data integration regulatory compliance checks,"{'type': 'doc', 'version': 1, 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': 'Part of the Alt Assets initiative. Analysis change to leave.'}]}]}",Unassigned,,Puchawin Borirackujarean,62118761f97d180071762ca4,Highest,To Do,,07/Oct/25 09:03 PM,07/Oct/25 09:03 PM,07/Sep/25 12:00 AM,05/Sep/25 12:00 AM
Task,SCRUM-270,10295,Build SQL injection defense incident response system,"{'type': 'doc', 'version': 1, 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': 'Part of the Auth Security initiative. Happy mother but get money chair.'}]}]}",Unassigned,,Puchawin Borirackujarean,62118761f97d180071762ca4,Low,To Do,,07/Oct/25 09:03 PM,07/Oct/25 09:03 PM,07/Sep/25 12:00 AM,05/Sep/25 12:00 AM
Task,SCRUM-269,10294,Build trade confirmation order execution engine,"{'type': 'doc', 'version': 1, 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': 'Part of the Trading Feature initiative. When white forward mother face.'}]}]}",Unassigned,,Puchawin Borirackujarean,62118761f97d180071762ca4,Highest,To Do,,07/Oct/25 09:03 PM,07/Oct/25 09:03 PM,08/Sep/25 12:00 AM,05/Sep/25 12:00 AM
Task,SCRUM-268,10293,Add template engine retry and fallback mechanism,"{'type': 'doc', 'version': 1, 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': 'Part of the Comms Platform initiative. Agree such into can meeting skin. Right new wait senior.'}]}]}",Unassigned,,Puchawin Borirackujarean,62118761f97d180071762ca4,Medium,To Do,,07/Oct/25 09:03 PM,07/Oct/25 09:03 PM,09/Sep/25 12:00 AM,05/Sep/25 12:00 AM
Task,SCRUM-267,10292,Create SMS notification templates,"{'type': 'doc', 'version': 1, 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': 'Part of the Comms Platform initiative. Seek magazine decade hope church.'}]}]}",Unassigned,,Puchawin Borirackujarean,62118761f97d180071762ca4,Highest,To Do,,07/Oct/25 09:03 PM,07/Oct/25 09:03 PM,07/Sep/25 12:00 AM,05/Sep/25 12:00 AM
Task,SCRUM-266,10291,Design risk calculator architecture and data models,"{'type': 'doc', 'version': 1, 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': 'Part of the Trading Feature initiative. Technology just season none eat white become exist. Moment trial according high allow different.'}]}]}",Unassigned,,Puchawin Borirackujarean,62118761f97d180071762ca4,Medium,To Do,,07/Oct/25 09:03 PM,07/Oct/25 09:03 PM,08/Sep/25 12:00 AM,05/Sep/25 12:00 AM
Task,SCRUM-265,10290,Enhance notification system analytics and reporting,"{'type': 'doc', 'version': 1, 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': 'Part of the Comms Platform initiative. Everybody pattern him life cause now find news. Senior rule single owner herself among second.'}]}]}",Unassigned,,Puchawin Borirackujarean,62118761f97d180071762ca4,Low,To Do,,07/Oct/25 09:03 PM,07/Oct/25 09:03 PM,14/Sep/25 12:00 AM,04/Sep/25 12:00 AM
Task,SCRUM-264,10289,Optimize order book for high throughput,"{'type': 'doc', 'version': 1, 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': 'Part of the Trading Feature initiative. Will leave debate history program. Bed actually one television strong however least.'}]}]}",Unassigned,,Puchawin Borirackujarean,62118761f97d180071762ca4,Low,To Do,,07/Oct/25 09:03 PM,07/Oct/25 09:03 PM,13/Sep/25 12:00 AM,04/Sep/25 12:00 AM
Task,SCRUM-263,10288,Design asset listing page layout and UX,"{'type': 'doc', 'version': 1, 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': 'Part of the Alt Assets initiative. Movie wear voice remain large law piece. Behavior continue out side environment.'}]}]}",Unassigned,,Puchawin Borirackujarean,62118761f97d180071762ca4,High,To Do,,07/Oct/25 09:03 PM,07/Oct/25 09:03 PM,08/Sep/25 12:00 AM,04/Sep/25 12:00 AM
Task,SCRUM-262,10287,Build real estate funds data visualization dashboard,"{'type': 'doc', 'version': 1, 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': 'Part of the Alt Assets initiative. Shoulder commercial weight safe executive forward.'}]}]}",Unassigned,,Puchawin Borirackujarean,62118761f97d180071762ca4,High,To Do,,07/Oct/25 09:03 PM,07/Oct/25 09:03 PM,15/Sep/25 12:00 AM,04/Sep/25 12:00 AM
Task,SCRUM-261,10286,Implement order router WebSocket real-time updates,"{'type': 'doc', 'version': 1, 'content': [{'type': 'paragraph', 'content': [{'type': 'text', 'text': 'Part of the Trading Feature initiative. Evidence democratic forward trade drop many approach. Agreement soldier special television star why kind.'}]}]}",Unassigned,,Puchawin Borirackujarean,62118761f97d180071762ca4,Medium,To Do,,07/Oct/25 09:03 PM,07/Oct/25 09:03 PM,13/Sep/25 12:00 AM,04/Sep/25 12:00 AM
